name,stars,count_reviews,coordinate,latitude,longitude,category
Halte Busway Kampung Sumur,4.0,46,"-6.21441,106.9093051,17",-6.21441,106.9093051,bus_station
Halte Busway Karet Kuningan,4.3,19,"-6.2148599,106.8150652,15",-6.2148599,106.8150652,bus_station
Halte Busway Karet Sudirman,4.7,3,"-6.2193576,106.8114297,17",-6.2193576,106.8114297,bus_station
Halte Busway Kayu Putih Rawasari,4.3,4,"-6.1874765,106.8728253,17",-6.1874765,106.8728253,bus_station
Halte Busway Kebayoran Lama,3.0,5,"-6.2383454,106.7753745,17",-6.2383454,106.7753745,bus_station
Halte Busway Kebayoran Lama Bungur,4.5,4,"-6.2547555,106.7793734,17",-6.2547555,106.7793734,bus_station
Halte Busway Kebon Jeruk,4.3,6,"-6.1943248,106.7663022,17",-6.1943248,106.7663022,bus_station
Halte Busway Kebon Pala,3.0,5,"-6.2217327,106.7933463,13",-6.2217327,106.7933463,bus_station
Halte Busway Kedoya Assiddiqiyah,4.3,27,"-6.1745,106.7632751,17",-6.1745,106.7632751,bus_station
Halte Busway Kedoya Green Garden,4.4,66,"-6.16444,106.7604351,17",-6.16444,106.7604351,bus_station
Halte Busway Kelapa Dua Sasak,4.2,77,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway Kemayoran Landas Pacu Timur,4.5,63,"-6.15218,106.8516651,17",-6.15218,106.8516651,bus_station
Halte Busway Kramat Sentiong NU,4.9,13,"-6.1862843,106.847596,17",-6.1862843,106.847596,bus_station
Halte Busway Kuningan Barat,3.0,5,"-6.2084263,106.751543,13",-6.2084263,106.751543,bus_station
Halte Busway Kuningan Madya,4.2,44,"-6.21266,106.8278451,17",-6.21266,106.8278451,bus_station
Halte Busway Kuningan Timur,4.0,103,"-6.234819,106.826517,17",-6.234819,106.826517,bus_station
Halte Busway Kwitang,4.4,57,"-6.1810686,106.8361184,17",-6.1810686,106.8361184,bus_station
Halte Busway Latuharhari,4.4,33,"-6.2028065,106.8250829,17",-6.2028065,106.8250829,bus_station
Halte Busway Latumeten Stasiun Grogol,4.2,139,"-6.1638999,106.78754,17",-6.1638999,106.78754,bus_station
Halte Busway Layur,4.6,57,"-6.1931278,106.8797118,15",-6.1931278,106.8797118,bus_station
Halte Busway Mampang Prapatan,4.1,141,"-6.2426256,106.8231491,17",-6.2426256,106.8231491,bus_station
Halte Busway Mangga Besar,5.0,1,"-6.153296,106.8149568,17",-6.153296,106.8149568,bus_station
Halte Busway Mangga Dua,3.8,4,"-6.1376459,106.8238329,17",-6.1376459,106.8238329,bus_station
Halte Busway Manggarai,4.3,57,"-6.2089113,106.8447235,17",-6.2089113,106.8447235,bus_station
Halte Busway Masjid Agung,4.0,1,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway Matraman 1,4.3,77,"-6.2000106,106.8518861,17",-6.2000106,106.8518861,bus_station
Halte Busway Matraman 2,3.0,5,"-6.2072569,106.8509702,15",-6.2072569,106.8509702,bus_station
Halte Busway Matraman Baru,4.0,64,"-6.2128733,106.8585886,17",-6.2128733,106.8585886,bus_station
Halte Busway Mayestik,4.4,150,"-6.2418276,106.7878195,17",-6.2418276,106.7878195,bus_station
Halte Busway Monumen Nasional,4.6,105408,"-6.1753924,106.8245779,17",-6.1753924,106.8245779,bus_station
Halte Busway Museum Fatahillah,4.5,189,"-6.13393,106.8095151,17",-6.13393,106.8095151,bus_station
Halte Busway Olimo,4.2,62,"-6.1493,106.8141151,17",-6.1493,106.8141151,bus_station
Halte Busway PGC 1,4.3,306,"-6.2624862,106.8637836,17",-6.2624862,106.8637836,bus_station
Halte Busway Pademangan,4.0,27,"-6.1337,106.8290651,17",-6.1337,106.8290651,bus_station
Halte Busway Pakin,3.6,16,"-6.12798,106.8021651,17",-6.12798,106.8021651,bus_station
Halte Busway Pal Putih,4.8,4,"-6.1836663,106.8422122,17",-6.1836663,106.8422122,bus_station
Halte Busway Pancoran Barat,4.1,83,"-6.2416403,106.834596,17",-6.2416403,106.834596,bus_station
Halte Busway Pancoran Tugu,3.0,5,"-6.2424651,106.8353876,16",-6.2424651,106.8353876,bus_station
Halte Busway Pangeran Jayakarta,4.3,35,"-6.1376002,106.8153154,17",-6.1376002,106.8153154,bus_station
Halte Busway Pasar Baru,4.1,99,"-6.1661358,106.8322555,17",-6.1661358,106.8322555,bus_station
Halte Busway Pasar Baru Timur,4.3,39,"-6.16227,106.8355351,17",-6.16227,106.8355351,bus_station
Halte Busway Pasar Cempaka Putih,3.0,5,"-6.2084215,106.7103404,12",-6.2084215,106.7103404,bus_station
Halte Busway Pasar Enjo,4.4,44,"-6.2148666,106.8757288,17",-6.2148666,106.8757288,bus_station
Halte Busway Pasar Genjing,4.3,50,"-6.1944421,106.8583207,17",-6.1944421,106.8583207,bus_station
Halte Busway Pasar Induk Kramat Jati,3.0,5,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway Pasar Jatinegara,4.4,148,"-6.2157344,106.8637519,17",-6.2157344,106.8637519,bus_station
Halte Busway Pasar Kebayoran Lama,4.1,15,"-6.238462,106.7806238,17",-6.238462,106.7806238,bus_station
Halte Busway Pasar Kramat Jati,3.0,5,"-6.2815667,106.8590143,15",-6.2815667,106.8590143,bus_station
Halte Busway Pasar Pulo Gadung,4.5,23,"-6.1874739,106.9033652,17",-6.1874739,106.9033652,bus_station
Halte Busway Pasar Rumput,4.2,136,"-6.2071384,106.8385618,17",-6.2071384,106.8385618,bus_station
Halte Busway Patra Kuningan,5.0,2,"-6.2330006,106.8293786,17",-6.2330006,106.8293786,bus_station
Halte Busway Pecenongan,4.1,36,"-6.16771,106.8256151,17",-6.16771,106.8256151,bus_station
Halte Busway Pedati Prumpung,3.9,15,"-6.221886,106.8717491,17",-6.221886,106.8717491,bus_station
